X,Y,CDP,INLINE,dip,var,Ins_Fre,Ins_phase,Max_Amp,label
413679.86,4193914.31,364,460,11.6403,0.001,50.7975,-0.0026,1615230.125,1
416440.13,4192569.86,916,191,18.7534,0.0016,51.5681,-0.1434,978626.5625,1
413064.83,4194099.19,241,497,4.7677,0.0004,50.9619,-0.0909,4347208.5,1
416010.0,4193214.78,830,320,17.4772,0.0041,51.1453,-0.0377,1344586.875,1
412954.83,4194079.17,219,493,11.996,0.0015,51.062,-0.0492,3757330.0,1
413929.85,4193999.36,414,477,5.7101,0.0009,50.9552,-0.0092,2211457.75,1
416025.02,4193124.78,833,302,13.8853,0.0015,50.8244,-0.1037,1494854.125,1
413130.06,4192939.2,254,265,3.7273,0.0005,51.1384,-0.0522,3329307.75,1
413029.84,4194014.18,234,480,14.9589,0.0021,51.0914,-0.021,3459145.0,1
412909.92,4193629.16,210,403,2.7061,0.0003,51.1415,0.034,5412803.5,1
413450.12,4192609.27,318,199,22.8721,0.0034,51.0942,-0.0578,4184999.5,1
414024.76,4194444.38,433,566,48.8395,0.0031,50.9341,0.0874,1393158.25,1
413029.78,4194309.18,234,539,7.6812,0.0011,51.1353,-0.0699,3713737.75,1
412919.86,4193939.16,212,465,8.9562,0.0011,50.9662,-0.1569,4436032.5,1
413320.08,4192804.24,292,238,11.2216,0.0014,51.2047,-0.0403,4900839.5,1
413735.01,4193159.32,375,309,5.2574,0.0005,51.1313,-0.0626,2992224.5,1
413570.06,4192944.29,342,266,10.1622,0.0011,51.2133,-0.0205,4545501.0,1
417170.05,4192965.01,1062,270,10.2089,0.0048,50.956,-0.1112,2055843.375,1
413899.86,4193929.36,408,463,12.035,0.0006,51.2786,-0.0241,2136941.75,1
412985.08,4192799.17,225,237,3.1531,0.0005,51.0224,-0.1083,6107096.0,1
413480.15,4192479.27,324,173,11.581,0.0015,51.1587,-0.0427,4989657.5,1
413254.95,4193494.23,279,376,2.0658,0.0002,51.1357,0.0005,4700548.5,1
414469.94,4193524.47,522,382,15.6157,0.0021,50.8588,-0.0014,609162.9375,1
412894.9,4193704.16,207,418,6.3444,0.0004,51.0766,-0.0654,4186204.5,1
414159.8,4194254.41,460,528,12.5173,0.0012,51.3424,0.0196,1909894.875,1
413520.11,4192674.28,332,212,13.326,0.003,51.0521,-0.1411,4136411.0,1
417300.08,4192825.03,1088,242,16.3044,0.0036,51.4127,-0.1029,1610921.0,1
415269.88,4193844.63,682,446,33.0039,0.1287,93.8943,0.2831,166429.2031,-1
413075.13,4192569.19,243,191,3.7769,0.0002,51.0835,-0.0891,9321316.0,1
413004.92,4193634.18,229,404,9.7208,0.0007,51.1199,-0.0229,4693076.0,1
414064.84,4194019.39,441,481,3.8081,0.0003,51.0394,-0.1336,3175587.5,1
413919.79,4194279.36,412,533,7.7606,0.0012,51.0928,-0.0085,3205973.5,1
413190.07,4192879.21,266,253,8.3378,0.0007,51.179,0.0114,3946849.25,1
415344.88,4193809.64,697,439,77.8757,0.0209,51.1675,0.0756,242132.5313,-1
413045.06,4192899.19,237,257,6.9912,0.0007,51.0377,-0.0132,4202080.0,1
413804.98,4193314.34,389,340,18.7913,0.0033,51.1441,-0.0445,1668172.125,1
415920.05,4192954.76,812,268,53.2955,0.0076,51.0109,-0.1104,191109.1875,1
414489.81,4194169.47,526,511,28.9294,0.0237,88.0418,0.4863,334568.5938,-1
417030.09,4192794.98,1034,236,8.9575,0.001,51.183,-0.0851,3065373.0,1
414259.98,4193349.43,480,347,3.4671,0.0016,50.5459,-0.1527,620019.0625,1
413194.96,4193434.21,267,364,0.7106,0.0001,50.9376,-0.1399,5193952.5,1
414554.94,4193519.49,539,381,22.9526,0.0007,51.4014,-0.0214,679291.3125,1
413829.9,4193729.34,394,423,10.267,0.0004,51.1751,-0.0775,2752276.75,1
414279.79,4194289.43,484,535,17.0166,0.0019,50.6575,-0.1414,1283868.375,1
413354.88,4193809.25,299,439,11.7532,0.0009,51.1639,-0.0366,2243204.75,1
412974.9,4193724.17,223,422,3.6299,0.0002,51.0315,-0.0905,4894781.0,1
415705.0,4193209.72,769,319,3.2272,0.001,51.3027,-0.0402,1802597.5,1
417220.09,4192760.02,1072,229,5.6604,0.0014,51.2311,-0.0445,2771283.0,1
412899.83,4194074.16,208,492,12.32,0.0016,51.0624,-0.0894,3302788.25,1
412875.02,4193139.15,203,305,9.98,0.0014,51.0869,-0.0982,3737109.25,1
412934.82,4194104.16,215,498,9.8165,0.0011,51.0944,-0.0206,3461242.75,1
412874.9,4193739.15,203,425,5.3372,0.0003,50.9469,-0.0878,4437120.0,1
413475.03,4193094.27,323,296,82.0158,0.0076,51.0584,0.0025,1135425.125,1
414174.95,4193474.41,463,372,7.7649,0.0005,51.3983,0.0004,602398.5,1
413919.9,4193704.36,412,418,3.2079,0.0001,51.2299,-0.0759,3659643.75,1
413069.83,4194099.19,242,497,3.8781,0.0004,50.9584,-0.1015,4380059.5,1
413564.87,4193884.29,341,454,14.8083,0.0009,51.0555,-0.1508,1828101.25,1
412985.06,4192924.17,225,262,10.6868,0.001,51.1773,-0.0891,4936137.5,1
417205.07,4192860.01,1069,249,8.9843,0.0033,53.0492,-0.2385,1676230.875,1
413310.0,4193219.24,290,321,6.0263,0.0007,51.0845,-0.0808,2050979.375,1
414359.97,4193379.45,500,353,23.8603,0.0018,51.1911,-0.052,723070.0,1
413794.85,4193954.33,387,468,4.2731,0.0005,50.8906,-0.0357,1742865.125,1
417220.13,4192590.02,1072,195,4.6145,0.0006,51.4866,-0.155,2805494.0,1
414134.91,4193654.4,455,408,11.7702,0.0016,51.2428,-0.0573,1048335.625,1
416955.08,4192814.96,1019,240,9.551,0.0009,51.16,-0.0437,3450234.5,1
413005.04,4193009.18,229,279,5.073,0.0007,51.0846,0.0013,3654248.5,1
413590.01,4193194.29,346,316,2.2107,0.0007,51.0562,-0.1021,2439590.0,1
414134.84,4194029.4,455,483,10.4483,0.0013,51.0053,-0.0734,2649280.25,1
417105.06,4192904.99,1049,258,6.2556,0.0014,51.0697,-0.0829,1485059.875,1
414044.83,4194084.38,437,494,4.9881,0.0004,51.0648,-0.0732,2904732.0,1
416750.06,4192919.92,978,261,3.8307,0.0006,51.0099,-0.1629,2396634.75,1
414134.77,4194399.4,455,557,42.198,0.0037,51.0624,0.0232,1197756.875,1
414589.95,4193494.49,546,376,18.8751,0.0013,50.9901,-0.1469,798969.0,1
413155.0,4193229.21,259,323,5.9055,0.0007,51.057,0.004,2977377.5,1
413784.99,4193294.33,385,336,11.9252,0.0016,51.4285,-0.0358,1847323.75,1
412880.13,4192549.15,204,187,5.7932,0.0005,51.2015,0.0136,8071983.0,1
412964.92,4193624.17,221,402,7.2246,0.0004,51.105,-0.0502,5047145.0,1
414149.94,4193519.41,458,381,32.0384,0.0031,51.3301,0.051,534169.75,1
413475.13,4192569.27,323,191,9.9675,0.0011,51.2267,-0.0176,5422593.0,1
412899.9,4193739.16,208,425,4.4464,0.0002,51.169,0.0036,4460936.0,1
412950.03,4193059.17,218,289,7.6986,0.0009,51.0266,-0.0825,4296668.0,1
413569.95,4193494.29,342,376,16.6819,0.0022,51.0783,-0.0789,2527068.75,1
412950.15,4192484.17,218,174,7.0363,0.0008,51.2623,-0.0039,8223559.0,1
413585.06,4192914.29,345,260,10.0321,0.0008,51.1893,-0.047,4954254.5,1
413214.97,4193399.22,271,357,2.0873,0.0001,50.9979,-0.1618,5353722.0,1
414104.88,4193839.4,449,445,17.5506,0.0038,50.675,-0.1731,1513785.625,1
416710.1,4192739.92,970,225,11.591,0.0011,51.0646,-0.1169,2025025.125,1
413270.04,4193019.23,282,281,7.2172,0.0007,51.0009,-0.063,1941402.5,1
412955.01,4193164.17,219,310,8.6265,0.0007,50.8977,-0.0763,3619199.5,1
415069.84,4194029.59,642,483,11.4043,0.0274,50.3757,-0.1473,337573.7813,-1
416805.05,4192999.93,989,277,7.96,0.0009,50.9718,-0.1264,2213127.0,1
413310.1,4192704.24,290,218,18.9415,0.0032,51.3072,0.0128,3233049.0,1
414414.94,4193524.46,511,382,32.8585,0.0015,52.2559,-0.0113,567551.25,1
413004.95,4193459.18,229,369,11.188,0.0011,50.9663,-0.0716,4712457.0,1
413580.01,4193194.29,344,316,0.5249,0.0008,51.0486,-0.1066,2292934.25,1
413725.12,4192624.32,373,202,4.6349,0.0009,51.2744,-0.0043,3675963.5,1
413954.92,4193634.37,419,404,13.2762,0.0015,51.3255,-0.0561,3100115.0,1
413155.03,4193069.21,259,291,13.2919,0.0016,51.0025,-0.0635,2342138.75,1
417135.13,4192555.0,1055,188,10.4598,0.0032,51.2749,-0.106,1841210.5,1
414009.86,4193939.38,430,465,5.643,0.0005,51.0572,-0.1187,2745190.0,1
415890.04,4193019.75,806,281,53.1879,0.0196,51.5306,-0.0099,292621.8438,1
413270.1,4192739.23,282,225,10.5725,0.0014,51.19,-0.0541,4807439.0,1
414169.83,4194084.41,462,494,14.0892,0.002,51.0885,-0.1025,2304763.0,1
413979.88,4193829.37,424,443,10.8611,0.0008,51.1993,-0.1122,3125835.75,1
416860.07,4192869.95,1000,251,5.8223,0.0006,51.1785,-0.0929,2722271.75,1
414269.88,4193849.43,482,447,13.0906,0.0014,50.3019,-0.2132,935538.5625,1
417360.06,4192940.04,1100,265,12.0721,0.0117,58.2241,0.3674,1054278.375,1
416915.13,4192549.96,1011,187,4.8312,0.0004,51.2397,-0.0534,2413509.75,1
416860.05,4192999.95,1000,277,17.246,0.0018,51.1205,0.0818,2527356.5,1
414449.95,4193484.47,518,374,11.4557,0.0015,50.7557,-0.0316,771745.1875,1
412884.89,4193759.15,205,429,5.2549,0.0004,51.1348,0.0307,4597272.5,1
417065.12,4192634.99,1041,204,11.1949,0.002,51.1512,0.0042,2472925.75,1
413595.03,4193089.29,347,295,8.016,0.0006,51.2631,-0.0237,3221495.5,1
414264.92,4193604.43,481,398,20.2986,0.0012,51.186,-0.0598,817106.875,1
414399.94,4193534.46,508,384,10.5972,0.0016,52.2701,0.0353,574574.0625,1
413705.09,4192764.32,369,230,11.7546,0.0016,51.1312,-0.129,4956600.0,1
417335.05,4192970.04,1095,271,5.0593,0.0036,51.3446,-0.0713,2124855.0,1
413544.88,4193814.28,337,440,6.1635,0.0008,51.0514,-0.044,1784588.375,1
414564.79,4194279.49,541,533,29.2407,0.018,51.2343,-0.0078,680874.3125,-1
414164.97,4193364.41,461,350,8.6491,0.0009,50.4565,-0.1079,757091.9375,1
413100.14,4192524.2,248,182,2.0658,0.0002,51.3334,0.0447,10250620.0,1
413014.77,4194379.18,231,553,9.3585,0.0013,51.1142,-0.1195,3002430.75,1
413470.11,4192689.27,322,215,27.5694,0.0058,51.0033,-0.0915,2641288.25,1
412909.84,4194014.16,210,480,12.113,0.0013,51.1004,-0.0751,3986977.0,1
416755.14,4192544.92,979,186,10.4619,0.0013,51.1383,-0.0038,2171415.75,1
413730.07,4192874.32,374,252,12.277,0.0029,51.2138,-0.0256,3966230.75,1
413994.89,4193754.37,427,428,11.4333,0.0014,51.1524,0.0364,2981501.0,1
413080.05,4192969.19,244,271,7.9378,0.0004,50.9592,-0.1089,3524037.0,1
414304.79,4194289.44,489,535,19.7341,0.003,50.967,-0.0664,1094630.0,1
414189.92,4193619.41,466,401,11.0574,0.0012,51.2377,0.1047,704873.0625,1
413075.15,4192459.19,243,169,7.5404,0.0011,51.3707,0.009,9139105.0,1
413555.03,4193074.29,339,292,10.2358,0.0008,51.0107,-0.1052,3054654.5,1
414564.96,4193419.49,541,361,6.4322,0.0019,51.0234,-0.0408,742794.25,1
416865.05,4192969.95,1001,271,14.7472,0.0015,51.1171,0.0305,2322400.5,1
413585.01,4193179.29,345,313,2.5586,0.0008,51.0518,-0.084,2331686.5,1
413695.0,4193244.31,367,326,5.9033,0.0004,51.3208,0.0178,2475371.5,1
413355.07,4192884.25,299,254,12.5492,0.0021,51.0883,-0.1337,3474656.75,1
416865.07,4192859.95,1001,249,6.189,0.0006,51.0874,-0.1005,2812692.25,1
412869.97,4193374.15,202,352,8.9523,0.0016,51.1626,-0.0994,3958357.25,1
414304.93,4193599.44,489,397,7.423,0.0012,51.8436,0.0331,738352.125,1
417275.06,4192910.03,1083,259,18.124,0.0106,51.8713,-0.0322,1447766.5,1
414059.78,4194324.39,440,542,7.5849,0.0008,51.0469,-0.083,2725496.5,1
413390.06,4192939.25,306,265,27.5479,0.0052,51.1033,-0.0404,1892286.125,1
413339.91,4193684.24,296,414,7.5244,0.0005,51.0403,-0.0984,2839276.25,1
415600.01,4193184.69,748,314,6.7157,0.0016,52.5354,-0.0643,2215595.0,1
412974.87,4193879.17,223,453,7.297,0.001,51.1244,-0.059,4873434.5,1
413205.14,4192534.22,269,184,4.2453,0.0002,51.1966,-0.0725,10052506.0,1
414304.79,4194304.44,489,538,16.8251,0.0033,51.0111,-0.1255,1139604.0,1
414449.82,4194134.47,518,504,43.6195,0.12,87.9116,0.4774,131344.0,-1
417290.13,4192550.03,1086,187,9.8778,0.0012,51.4478,0.0249,2993518.25,1
415970.01,4193174.77,822,312,9.5693,0.0016,51.0695,-0.1414,1732065.0,1
415154.86,4193934.61,659,464,69.7529,0.0889,73.3697,-0.0662,120427.0859,-1
414479.81,4194154.47,524,508,27.8014,0.0206,78.1814,-0.2866,630165.75,-1
413530.1,4192734.28,334,224,11.7268,0.0026,51.1402,-0.1019,4830234.0,1
416810.12,4192599.94,990,197,11.3189,0.0014,50.9928,-0.0967,1954398.875,1
417405.06,4192950.05,1109,267,19.6942,0.0201,77.7347,0.3303,376500.4688,1
413554.9,4193714.29,339,420,2.9523,0.0002,50.9934,-0.097,2396442.75,1
415004.81,4194154.58,629,508,6.1253,0.0635,76.7509,-0.6688,191004.3906,-1
413589.94,4193549.29,346,387,6.4846,0.0005,50.9631,-0.1367,3134504.5,1
416910.05,4192984.96,1010,274,12.1781,0.0009,51.157,-0.0287,2664913.75,1
413114.86,4193944.2,251,466,19.8329,0.0029,51.1404,-0.0665,2291153.0,1
414454.96,4193404.47,519,358,4.3979,0.0006,51.3724,0.0214,1125007.375,1
413420.06,4192909.26,312,259,26.532,0.0071,51.1226,0.0406,2166425.25,1
412875.13,4192584.15,203,194,5.3223,0.0007,51.0277,-0.1264,6921576.5,1
413085.1,4192724.19,245,222,2.5173,0.0005,50.9653,-0.1236,7066976.0,1
412890.05,4192994.15,206,276,13.4371,0.0013,51.1162,-0.0656,5423599.0,1
416595.08,4192819.89,947,241,11.6152,0.0017,51.5619,-0.1817,1786061.0,1
415079.84,4194009.59,644,479,10.4337,0.0138,61.3334,-1.0074,433569.4063,-1
413370.11,4192679.25,302,213,6.3059,0.0003,51.1452,-0.0462,3678668.5,1
414979.79,4194304.57,624,538,35.2349,0.0415,92.7311,0.0749,183441.5313,-1
416115.01,4193184.8,851,314,13.6898,0.002,51.2221,-0.1395,1274063.25,1
416785.11,4192694.93,985,216,4.9632,0.0004,51.0603,-0.0736,1983640.875,1
417240.08,4192835.02,1076,244,5.7817,0.0009,51.5572,-0.0833,1912817.25,1
413134.88,4193814.2,255,440,11.003,0.001,51.1491,-0.0424,3724397.5,1
413974.86,4193924.37,423,462,5.9757,0.0004,51.0854,-0.0732,2626372.5,1
414769.82,4194144.53,582,506,19.7789,0.0095,53.6942,0.4695,37297.8242,-1
413070.03,4193054.19,242,288,6.9971,0.0009,51.0155,-0.0804,3096699.5,1
413520.07,4192869.28,332,251,8.9315,0.0012,51.164,-0.0689,4525942.5,1
413700.09,4192764.32,368,230,11.2681,0.0015,51.1777,-0.0935,5069431.0,1
413065.1,4192709.19,241,219,1.8951,0.0002,51.0623,-0.1274,7711334.0,1
413345.12,4192604.24,297,198,3.6762,0.0013,50.984,-0.1422,5536218.5,1
412960.08,4192834.17,220,244,6.0454,0.0005,51.1383,-0.0617,6202127.0,1
413999.81,4194174.38,428,512,4.5137,0.0004,51.0934,-0.0935,2708882.5,1
412900.06,4192929.16,208,263,11.9778,0.0011,51.1604,0.0137,5717806.0,1
413169.94,4193504.21,262,378,1.7337,0.0002,51.202,0.0304,4001125.0,1
413340.07,4192889.24,296,255,12.5089,0.002,51.0671,-0.1623,3518441.75,1
416755.11,4192679.92,979,213,11.2587,0.0011,51.3247,-0.0722,1792664.625,1
412974.89,4193779.17,223,433,3.4614,0.0003,51.0323,-0.0992,4972936.0,1
417070.14,4192524.99,1042,182,22.3779,0.0051,51.2523,-0.0507,1420694.375,1
414284.89,4193784.43,485,434,16.5674,0.0023,51.0255,-0.0029,989200.75,1
415905.0,4193214.75,809,320,11.9,0.0019,51.2868,-0.0335,1593932.0,1
413515.14,4192529.28,331,183,6.613,0.0003,51.0793,-0.1317,5064277.5,1
413094.79,4194284.2,247,534,13.5579,0.0016,51.1495,-0.0586,2575487.25,1
413345.06,4192914.24,297,260,18.5129,0.0029,51.0063,-0.1277,3118249.5,1
413689.98,4193304.31,366,338,3.0946,0.0001,51.1279,-0.0601,2375520.25,1
413615.15,4192479.3,351,173,3.2324,0.0003,51.269,-0.0799,3949099.5,1
